"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"33","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","2","no","250","-250","137"
"34","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","verschillend van","3","no","250","-250","137"
"35","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"36","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"37","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","2","yes","250","-250","137"
"38","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","hetzelfde als","3","yes","250","-250","137"
"39","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"40","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"41","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","2","yes","250","-250","137"
"42","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","verschillend van","1","yes","250","-250","137"
"43","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","verschillend van","2","no","250","-250","137"
"44","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","1","no","250","-250","137"
"45","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","137"
"46","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","137"
"47","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","2","yes","250","-250","137"
"48","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","1","yes","250","-250","137"
"49","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","250","-250","137"
"50","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","250","-250","137"
"51","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"52","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"53","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","137"
"54","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","137"
"55","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"56","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
"57","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"58","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"59","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"60","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"61","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"62","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"63","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"64","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"65","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","2","yes","250","-250","137"
"66","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","verschillend van","1","yes","250","-250","137"
"67","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","2","no","250","-250","137"
"68","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","verschillend van","1","no","250","-250","137"
"69","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","137"
"70","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","137"
"71","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","yes","250","-250","137"
"72","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","yes","250","-250","137"
"73","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","250","-250","137"
"74","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","250","-250","137"
"75","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","250","-250","137"
"76","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","250","-250","137"
"77","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","137"
"78","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","137"
"79","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","250","-250","137"
"80","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","250","-250","137"
"81","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"82","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"83","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","250","-250","137"
"84","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","250","-250","137"
"85","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"86","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"87","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","250","-250","137"
"88","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","250","-250","137"
"89","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","2","yes","250","-250","137"
"90","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","1","yes","250","-250","137"
"91","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","2","no","250","-250","137"
"92","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","verschillend van","1","no","250","-250","137"
"93","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","2","no","250","-250","137"
"94","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","1","no","250","-250","137"
"95","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","yes","250","-250","137"
"96","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","yes","250","-250","137"
"97","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"98","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"99","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"100","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"101","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"102","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"103","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"104","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"105","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","2","no","-250","250","137"
"106","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","3","no","-250","250","137"
"107","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"108","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"109","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","2","yes","-250","250","137"
"110","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","3","yes","-250","250","137"
"111","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"112","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"113","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","2","yes","-250","250","137"
"114","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","1","yes","-250","250","137"
"115","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","verschillend van","2","no","-250","250","137"
"116","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","verschillend van","1","no","-250","250","137"
"117","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","137"
"118","is verschillend van","2","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","137"
"119","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","yes","-250","250","137"
"120","is hetzelfde als","2","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","yes","-250","250","137"
"121","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"122","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"123","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"124","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"125","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"126","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"127","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"128","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"129","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","2","no","-250","250","137"
"130","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","verschillend van","3","no","-250","250","137"
"131","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"132","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"133","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","2","yes","-250","250","137"
"134","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","hetzelfde als","3","yes","-250","250","137"
"135","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"136","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"137","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","2","yes","-250","250","137"
"138","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","verschillend van","1","yes","-250","250","137"
"139","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","verschillend van","2","no","-250","250","137"
"140","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","verschillend van","1","no","-250","250","137"
"141","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","137"
"142","is verschillend van","3","is hetzelfde als","2",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","137"
"143","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"1","hetzelfde als","2","yes","-250","250","137"
"144","is hetzelfde als","3","is verschillend van","2",NA,NA,NA,"2","hetzelfde als","1","yes","-250","250","137"
"145","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","-250","250","137"
"146","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","-250","250","137"
"147","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"148","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"149","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","137"
"150","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","137"
"151","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"152","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"153","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"154","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"155","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"156","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"157","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"158","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"159","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"160","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"161","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","2","yes","-250","250","137"
"162","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","verschillend van","1","yes","-250","250","137"
"163","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","verschillend van","2","no","-250","250","137"
"164","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","verschillend van","1","no","-250","250","137"
"165","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","137"
"166","is verschillend van","3","is hetzelfde als","1",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","137"
"167","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"1","hetzelfde als","2","yes","-250","250","137"
"168","is hetzelfde als","3","is verschillend van","1",NA,NA,NA,"2","hetzelfde als","1","yes","-250","250","137"
"169","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","-250","250","137"
"170","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","-250","250","137"
"171","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","1","yes","-250","250","137"
"172","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","3","yes","-250","250","137"
"173","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","137"
"174","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","137"
"175","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","1","no","-250","250","137"
"176","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","3","no","-250","250","137"
"177","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"178","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"179","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","verschillend van","2","yes","-250","250","137"
"180","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","verschillend van","3","yes","-250","250","137"
"181","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"182","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"183","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"3","hetzelfde als","2","no","-250","250","137"
"184","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","3","no","-250","250","137"
"185","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","2","yes","-250","250","137"
"186","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","verschillend van","1","yes","-250","250","137"
"187","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","verschillend van","2","no","-250","250","137"
"188","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","verschillend van","1","no","-250","250","137"
"189","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","2","no","-250","250","137"
"190","is verschillend van","1","is hetzelfde als","3",NA,NA,NA,"2","hetzelfde als","1","no","-250","250","137"
"191","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"1","hetzelfde als","2","yes","-250","250","137"
"192","is hetzelfde als","1","is verschillend van","3",NA,NA,NA,"2","hetzelfde als","1","yes","-250","250","137"
